Number,Company,Name,Index,NAICS,NAICS Code,NAICS 2-letter,NAICS Sector,Self-description,Term,Cohort,Funding,Equity,Educational components,Office space,Pitch day,Portfolio companies,CVC information available,Goal,Areas of Interest,Partner,Company HQ,Accelerator locations,Founded,First source,URL,Comment
1,AIA,AIA Accelerator,No,Insurance Carriers,5241,52,Finance and Insurance,Accelerator,3 months,"Yes, regularly?",No,No,"Yes, mentors",Yes,Yes,Company names of 1 cohort[s],Limited,"""We are seeking up to 8 ambitious startup companies from across Asia with an innovative healthtech proposition.""",,Nest,Hong Kong,Hong Kong,2014,,http://aia-accelerator.com/#,
2,Airbus,Airbus BizLab,No,Aircraft Manufacturing,336411,33,Manufacturing,Accelerator,6 months,N/I,No,No,"Yes, coaches, experts, and mentors, prototyping, market access, ""learn and act"" workshops",Yes,Yes,No,Yes,"""...to speed up the transformation of ground-breaking ideas into valuable business propositions, all within an extended innovation eco-system. […] Airbus enhances its own access to – and knowledge of – the latest ideas, technologies and ways of working for the aerospace sector and beyond. Company employees, accustomed to working as part of a large enterprise, also learn from entrepreneurs adept at bringing new ideas to market as rapidly as possible.""",,No,France,"Toulouse, France / Hamburg, Germany / Bangalore, India",2015,http://www.eturbonews.com/56303/airbus-launches-its-global-aerospace-business-accelerator-bizlab,http://www.airbus.com/innovation/bizlab/,
3,Allianz SE,Allianz Digital Accelerator ,Germany,Direct Property and Casualty Insurance Carriers,524126,52,Finance and Insurance,Accelerator,N/I,N/I,N/I,N/I,N/I,N/I,N/I,No,Yes,"""The Allianz Digital Accelerator builds new business models for Allianz and accelerates their execution and implementation within Allianz to ultimately better serve and build value for our customers.""",,N/I,Germany,"Munich, Germany",2013,http://www.gruenderszene.de/allgemein/digital-accelerator-allianz,http://www.digital-accelerator.com,Still alive? Is it really an accelerator?
4,Anheuser Busch Inbev SA,Budweiser Dream Brewery,No,Breweries,31212,31,Manufacturing,Accelerator,3 months,"Yes, yearly",$20K,No,"Yes, mentors",N/I,N/I,No,TBD,"""Budweiser Dream Brewery is a new platform to inspire and empower tech innovators to come up with and realize their creative ideas around beer consumption/shopping experience/responsible drinking. """,,No,Belgium,"Shanghai, China",2015,,https://www.f6s.com/budweiserdreambrewery/about,No dedicated homepage
5,AT&T Inc,AT&T Aspire Accelerator,US,Wireless Telecommunications Carriers (except Satellite) (517210),517210,51,Information,Accelerator,6 months,"Yes, yearly",$50K + $25K for expenses,Up to 5%,"Yes, mentors",No,Yes,No,Yes,"""The Aspire Accelerator’s primary objective is to t and support innovative new products and services in education. The Aspire Accelerator’s Board of Advisors supports the program and shares our mission for social impact.""",,No,USA,"Remote + San Francisco, USA",2015,http://www.f6s.com/programs?filter=1&types[1]=accelerator&amount_default=0;5&fp_amount=0;5&equity_default=0;50&fp_equity=0;50,http://about.att.com/content/csr/home/people/at-t-aspire/mobilizing-learning/accelerator.html,
6,Axel Springer,Axel Springer Plug and Play Accelerator,No,"Newspaper, Periodical, Book, and Directory Publishers",5111,51,Information,Accelerator,3 months,"Yes, three times a year",25K EUR,5%,"Yes, mentors and workshops",Yes,Yes,Company names of 6 cohort[s],Yes,"""Axel Springer Plug and Play Accelerator is a Berlin-based accelerator looking for trail-blazing digital entrepreneurs. We’re more than just an accelerator: we provide global opportunities from day one, through our international network in Europe and Silicon Valley.""",,PlugAndPlay,Germany,"Berlin, Germany",2013,http://tech.eu/research/29/there-are-roughly-100-active-startup-accelerators-europe/,http://www.axelspringerplugandplay.com/,
7,Bank of Ireland,Bank of Ireland Accelerator Programme,No,Commercial Banking,52211,52,Finance and Insurance,Accelerator,3 months,"Yes, regularly",10K EUR,3% shared by all startups,"Yes, mentors",Yes,Yes,Company names of 1 cohort[s],TBD,"""We aim to identify the 10 start-ups and early stage ventures that will benefit most from everything this exciting initiative can bring to an entrepreneur, his or her team and business. """,No focus,StartPlanet,Ireland,"Cork, Ireland",2014,,https://www.bankofireland.com/accelerator-programme/,"Through a not-for-profit fund shared by all startups (one startup succeeds, all win). Maybe it stopped? No news"
8,Barclays PLC,Barclays Accelerator,UK,Commercial Banking,52211,52,Finance and Insurance,Accelerator,3 months,"Yes, yearly",$20K,"6% to Techstars in the form of common stock, Barclays none","Yes, mentors",Yes,Yes,TechStars Portfolio + Company names of 1 cohort[s],Yes,N/I,,Techstars,UK,"London, UK / New York, USA",2014,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,http://www.barclaysaccelerator.com/,
9,Bayer AG,Grants4Apps Accelerator,Germany,Pharmaceutical Preparation  Manufacturing,325412,32,Manufacturing,Accelerator,3 months,"Yes, yearly",50K EUR,<10% as an option in case of an exit,"Yes, mentors",Yes,Yes,Company names of 1 cohort[s],Yes,"""We are looking for startups beyond the ideation phase developing health technology or IT solutions that can connect and empower patients or healthcare stakeholders – mobile apps, digital services, wearables, medical devices, software, hardware. Any integrated next-generation technology that supports adherence, diagnosis, therapy control or prevention is welcome to submit a nomination.""",,No,Germany,"Berlin, Germany",2014,,https://www.grants4apps.com/accelerator/#/history,
10,BBC,BBC Worldwide Labs,No,Radio and Television Broadcasting,5151,51,Information,"""Lab"", ""We are more like a business accelerator but even that name is a bit lacking.""",6 months,"Yes, twice a year",No,No,"Yes, mentors",Yes,N/I,Company names of 3 cohort[s],Not listed,"""Our goal is to strategically and commercially partner with and support the most innovative up-and-coming digital media companies that are helping to define the emerging digital landscape.""",,No,UK,"London, UK / New York, USA",2012,http://tech.eu/research/29/there-are-roughly-100-active-startup-accelerators-europe/,http://www.bbcwlabs.com/,
11,Bonnier,Bonnier Accelerator,No,"Newspaper, Periodical, Book, and Directory Publishers",5111,51,Information,Accelerator,3 months,N/I,Flexible + Potential follow-on investment,Flexible,"Yes, mentors",Yes,Internal jury,Partial [?] company names of 2 cohort[s],Not listed,"""We are in the middle of a media revolution, and Bonnier stands at the center of it. Bonnier has been reinventing media for 200 years and continues to do so. This means we always need new ideas and new ways of doing things – and new people with a wide range of digital skills.""",,No,Sweden,"Stockholm, Sweden",2013,http://tech.eu/research/29/there-are-roughly-100-active-startup-accelerators-europe/,http://www.bonnieraccelerator.com,Not active anymore (last round 2014)
12,Cisco Systems Inc,Cisco Entrepreneurs in Residence,US,Other Communications Equipment Manufacturing (334290),334290,33,Manufacturing,Startup incubation program,6 months,"Yes, regularly",Flexible,N/I,"Yes, mentors",Yes,Yes,Company names of 2 cohort[s],Yes,"""Cisco Entrepreneurs in Residence (Cisco EIR) is designed to support early-stage entrepreneurs working on the next big ideas in the Internet of Things/Everything (IoT/IoE), enterprise security, cloud computing, Big Data/analytics, Smart Cities and other areas strategic to Cisco.""",,No,USA,"San Jose, USA / Vienna, Austria",2013,,https://eir.cisco.com/,
13,Citigroup Inc,Citi Accelerator,US,Commercial Banking (522110),522110,52,Finance and Insurance,Accelerator,4 months,"Yes, yearly",N/I,N/I,"Yes, mentors",N/I,N/I,No,TBD,N/I,,No,USA,"Tel Aviv, Israel",2013,http://bankinnovation.net/2014/06/citi-expands-its-innovation-ventures-in-israel/,http://www.citigroup.com/citi/news/2013/130802a.htm,Probably already closed and replaced with a new initiative (likely Nov 14). One round took place according to the Bankinnovation article
14,Citrix Systems Inc,Citrix Startup Accelerator,US,Software Publishers (511210),511210,51,Information,Accelerator,3 months,"Yes, regularly (freq.?)",No,No,"Yes, mentors and training",Yes,Yes,Company names of 1 cohort[s],Yes,N/I,,No,USA,"Santa Clara, USA / Raleigh, USA / Bangalore, India",2010,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,http://citrixstartupaccelerator.com/,
15,Coca-Cola Co,The Bridge,US,Soft Drink Manufacturing (312111),312111,31,Manufacturing,Commercialization Program,6 months,"Yes, regularly?",No,No,"Yes, mentors and training","N/I, Likely",N/I,Company names of 1 cohort[s],Limited,N/I,,No,USA,"Tel Aviv, Israel",2013,http://www.f6s.com/programs?filter=1&types[1]=accelerator&amount_default=0;5&fp_amount=0;5&equity_default=0;50&fp_equity=0;50,http://www.thebridgebycocacola.com/,
16,DBS Group Holdings Ltd,DBS Accelerator,No,Commercial Banking,52211,52,Finance and Insurance,Accelerator,3 months,"Yes, regularly?",No,No,"Yes, mentors",Yes,Yes,No,TBD,"""We are seeking up to 8 ambitious startup companies from across the globe with an innovative FinTech proposition.""",,Nest,Singapore,Hong Kong,2015,,https://www.dbs-accelerator.com/,
17,Deutsche Telekom AG,hub:raum,Germany,Cellular and Other Wireless Telecommunications,513322,51,Information,"""Turbo accelerator""",8 days,"Yes, yearly",No,No,"Yes, mentors and training",Yes,Yes,Company names of 1 cohort[s],Yes,"""Therefore hub:raum manages your connection to one of the world’s leading integrated telecommunications companies. In areas in which your team excels, we let you focus; in areas in which you need help, we support. Just as it should be.""",,Betahaus,Germany,"Krakow, Poland",2012,https://www.innovationleader.com/tracking-the-corporate-supported-startup-accelerators/,https://www.hubraum.com/en/accelerator,
18,dpa,next media accelerator,No,News Syndicates,519110,51,Information,Accelerator,6 months,"Yes, regularly",0-50K EUR,3-10%,"Yes, mentors",Yes,N/I,No,Not listed,"""We are building an Accelerator. “We” means basically the German Press Agency dpa, as we are setting it up right now. Our main objective is not to become a player in the VC business. In fact we love news, we love journalism and we really want them to succeed in the digital world. In order to drive change in the media business we want to launch this accelerator.""",,N/I,Germany,"Hamburg, Germany",2015,,http://nextmediaaccelerator.io/,Not yet launched
19,DPD UK,DPD Last Mile labs,No,Couriers and Express Delivery Services,492110,49,Transportation and Warehousing,Accelerator,2 months,"Yes, yearly",12.5K GBP + Potentially 100K GBP follow-on investment,Flexible,"Yes, mentors from DPD and L Marks",Yes,Yes,Company names of 1 cohort[s],Parent not listed,"""The Last Mile is essential to today's shopping experience. It is also extremely challenging for delivery companies. Technology is crucial to navigating the challenge and DPD are leading the way with innovative services like, Predict, and Follow My Parcel. Now they’re looking to partner with startups, giving them unparalleled access to their data sets and APIs, to enhance the Last Mile experience and push the science of delivery to new heights!""",,Lmarks,UK,"London, UK",2015,http://www.f6s.com/programs?filter=1&types[1]=accelerator&amount_default=0;5&fp_amount=0;5&equity_default=0;50&fp_equity=0;50,http://www.lmarks.com/lastmilelabs,
20,E.ON SE,:agile accelerator,Germany,Hydroelectric Power Generation,221111,22,Utilities,Accelerator,3 months,"Yes, quarterly",10-20K EUR,N/I,"Yes, consulting and training",Yes,Yes,"Yes, partially",TBC,"""We want to develop new business ideas and bring them to life using our knowledge from the energy sector. That’s what :agile is all about!""",,No,Germany,"Berlin, Germany / Düsseldorf, Germany",2014,,http://eon-agile.com/,Former hybrid one or at least internal one
21,Ernst & Young,EY Startup Challenge,No,Management Consulting Services,54161,54,"Professional, Scientific, and Technical Services",Challenge,2 months,"Yes, yearly",No,No,"Yes, mentors",Yes,No,Company names of 1 cohort[s],TBD,"""The EY Startup Challenge brings together EY's leading clients with high-growth startups to explore solutions to pressing business problems. The objective is to collaboratively explore and validate different applications of strong business value for the startups’ technologies that address a clear business problem. """,Big Data,No,USA / London office,"London, UK",2014,,https://webforms.ey.com/UK/en/Services/Specialty-Services/EY-Startup-Challenge#3,
22,ImmobilienScout24,You Is Now,No,Internet Publishing and Broadcasting and Web Search Portals,519130,51,Information,Accelerator,3 months,"Yes, twice a year",15K EUR,No,"Yes, mentors",Yes,Yes,Company names of 1 cohort[s],Not listed,"""Based on the background of Scout24 we now support internet startups and founders from areas such as real estate and mobility.""",,No,Germany,"Munich, Germany",2010,,http://www.youisnow.com/,
23,Intel Corp,Intel Education Accelerator,US,Semiconductor and Related Device Manufacturing (334413),334413,33,Manufacturing,Accelerator,4 months,"Yes, irregular",Up to $100K,6%,"Yes, mentors",Yes,Yes,No,TBD,"""Our goal is to help passionate and committed education, technology, and business professionals who share our dedication to advance educational excellence with mentorship, funding, and insights.""",EdTech,No,USA,"Redwood City, USA",2015,,https://www-ssl.intel.com/content/www/us/en/education/accelerator/intel-education-accelerator.html#timeline,
24,"Interpublic Group of Companies, Inc",R/GA Accelerator,US,Advertising Agencies (541810),541810,54,"Professional, Scientific, and Technical Services",Accelerator,4 months,"Yes, yearly",$20K from Techstars + $100K optional convertible debt notes,6% to Techstars + Optional convertible debt notes to RG/A,"Yes, mentors and workshops",Yes,Yes,TechStars Portfolio + Company names of 1 cohort[s],"Yes, parent","“We’re looking forward to building on the momentum we have with R/GA in an industry such as IoT and connected devices that continues to evolve at rapid rates,”",,Techstars,USA,"New York, USA",2013,http://www.techstars.com/poweredby/,http://rgaaccelerator.com/connecteddevices/,
25,John Lewis,JLAB,No,Department Stores (except Discount Department Stores),452111,45,Retail Trade,Accelerator,2 months,"Yes, yearly",20K GBP + Potentially 100K GBP follow-on investment,Flexible,"Yes, mentors",Yes,Yes,No,No deals,"""JLAB is a programme from John Lewis, designed to fast track the growth of startup companies.""",,Lmarks,UK,"London, UK",2014,,http://jlab.co.uk/,
26,Kaplan,Kaplan EdTech Accelerator,No,Educational Support Services,611710,61,Educational Services,Accelerator,3 months,"Yes, yearly",$20K from Techstars + $150K optional convertible debt notes,6% to Techstars + Optional convertible debt notes to Kaplan,"Yes, mentors and workshops",Yes,Yes,TechStars Portfolio + Company names of 2 cohort[s],"Yes, parent",N/I,,Techstars,USA,"New York, USA",2013,http://www.techstars.com/poweredby/,http://kaplanedtechaccelerator.com/,
27,L Brands Inc,Leading Entrepreneurial Accelerator Program,US,Women's Clothing Stores,448120,44,Retail Trade,Accelerator,N/I,"Yes, regularly (freq. not yet fixed)",N/I,No,"Yes, mentors",N/I,N/I,No,TBD,"""LEAP will enable Mast Global to explore new technology solutions while enabling entrepreneurs to gain valuable access to domain expertise and learning,"" the company said.

Read more at:
""LEAP will enable Mast Global to explore new technology solutions while enabling entrepreneurs to gain valuable access to domain expertise and learning,"" the company said""",,Kyron,USA,"N/I, India",2015,http://economictimes.indiatimes.com/small-biz/startups/mast-global-launching-corporate-accelerator-to-tap-into-its-innovation-ecosystem/articleshow/47494572.cms,N/I,Subsidary Mast Global (logistic arm) is owning it
28,La Poste,Start'inPost,No,Couriers,49211,49,Transportation and Warehousing,Accelerator,12 months (3 + 9 months),"Yes, (yearly?)",N/I,Up to 5% (Option),"Yes, mentors","Yes, but to be paid",N/I,Company names of 1 cohort[s],TBD,N/I,,No,France,"Paris, France",2014,,http://legroupe.laposte.fr/Start-up/,
29,MasterCard Inc Class A,Start Path Europe,US,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",522320,52,Finance and Insurance,"""Program"", ""Effort""","12 months (4 months on-site, 8 months remote)","Yes, regularly?",No,No,"Yes, mentors",Yes,N/I,Company names of 1 cohort[s],Yes,"""We have one main objective, partnering with each startup to grow their businesses faster than they could by themselves. Our only measure of success is your success.""",,No,USA,"Dublin, Ireland",2014,http://www.f6s.com/programs?filter=1&types[1]=accelerator&amount_default=0;5&fp_amount=0;5&equity_default=0;50&fp_equity=0;50,http://www.startpath.com/,
