Number,Company,Name,Index,NAICS,NAICS Code,NAICS 2-letter,NAICS Sector,Self-description,Term,Cohort,Funding,Equity,Educational components,Office space,Pitch day,Portfolio companies,CVC information available,Goal,Areas of Interest,Partner,Company HQ,Accelerator locations,Founded,First source,URL,Comment
30,METRO AG,techstars Metro Accelerator,Germany,Supermarkets and Other Grocery (except Convenience) Stores,44511,44,Retail Trade,Accelerator,3 months,"Yes, yearly",N/I,N/I,"Yes, mentors and access to internal experts",Yes,Yes,No,Yes,"""The programme reaches out to start-ups offering technology-based services and products for operators of restaurants, cafés and snack bars, catering businesses and hotels, an important METRO customer group.""",,Techstars,Germany,"Berlin, Germany",2015,http://www.techstars.com/program/locations/,http://www.techstarsmetro.com/,
31,Microsoft Corp,Microsoft Ventures Accelerators,US,Software Publishers (511210),511210,51,Information,Accelerator,3-6 months,"Yes, (yearly?)",No,No,"Yes, mentors, technology and infrastructure support",Yes,Yes,Company names of several cohort[s],Yes,N/I,,No,USA,"Bangalore, India / Beijing, China / Berlin, Germany / London, UK / Paris, France / Seattle, USA / Tel Aviv, Israel",N/I,,https://www.microsoftventures.com/locations/bangalore/faq,
32,Microsoft Corp,Microsoft Accelerator,US,Software Publishers (511210),511210,51,Information,Accelerator,3 months,"Yes, several tracks per year (e.g. ""Kinect"" and ""Azure"")",$20K,"6% to Techstars in the form of common stock, Microsoft none","Yes, mentors and technical training",Yes,Yes,TechStars Portfolio + Company names of 2 cohort[s],Yes,"""Microsoft is a platform company and Azure our technology provides capabilities that will stimulate new businesses and exciting new productsinnovations. Some Microsoft engagement with the select Microsoft Accelerator companies may evolve but is not an explicit key element of the accelerator.""",,Techstars,USA,"Seattle, USA",2012,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,http://www.microsoftaccelerator.com/,Still alive? No information about current applications
33,Modern Times Group,MTGx MediaFactory,No,Television Broadcasting,51312,51,Information,Accelerator,3 months,"Yes, yearly",$50K,Flexible,"Yes, mentors",N/I,N/I,Company names of 1 cohort[s],TBD,"""MTGx MediaFactory is a startup partnership program targeted to early stage ventures within the media industry, focused on online video and music.""","eSport, video, music startups",No,Sweden,"Stockholm, Sweden",2014,,http://www.mtgxmediafactory.com/,
34,Mondelez International Inc Class A,,US,Other Snack Food Manufacturing (311919),311919,31,Manufacturing,Collaboration,3-6 months,"Yes, irregular",$40K,No,"Yes, workshops",No,No,Company names of 1 cohort[s],TBD,"""Pilots will focus on driving impulse purchases and mobile-at-retail consumer experiences, with additional pilots in the important areas of social TV and SoLoMo (social/location/mobile).""","Mobile at Retail, Social TV, Social Location Mobile",No,USA,"Chicago, USA",2012,,https://www.mobilefutures.com/,It's a very different approach. Where established startups get the opportunity to work with the company. Not sure if it really helps the startup?
35,Nike Inc Class B,Nike Fuel Lab,US,Footwear Manufacturing,316210,31,Manufacturing,Accelerator,3 months,"Yes, yearly",N/I,N/I,"Yes, mentors",Yes,Yes,TechStars Portfolio + Company names of 1 cohort[s],Limited,N/I,,Techstars,USA,"San Francisco, USA",2013,http://www.techstars.com/program/locations/,http://www.nikefuellab.com/,"Still alive? The 2013 edition was called ""Nike+ Accelerator"""
36,Orange,Orange Fab France,No,Wired Telecommunications Carriers,517110,51,Information,Accelerator,3 months,"Yes, yearly",Up to $20K as optional convertible debt notes,Optional convertible debt notes,"Yes, mentors",Yes,Yes,Company names of 3 cohort[s],Yes,"""we're a 3-month accelerator program
searching for startups with existing products who are looking for growth and distribution opportunities""",,No,France,"France, Poland, Asia, Ivory Coast, Israel, USA",2012,http://tech.eu/research/29/there-are-roughly-100-active-startup-accelerators-europe/,http://orangefab.com,
37,PCH International,Highway 1,No,Industrial Design Services,541420,54,"Professional, Scientific, and Technical Services",Accelerator,4 months,"Yes, twice a year",$50K,4%-7%,"Yes, mentors, engineers, machines",Yes,Yes,Company names of 1 cohort[s],TBD,"""We help them design a product that delivers value to customers, that’s delightful to use and that can be made at scale""",,No,Ireland,"San Francisco, USA",2013,,http://highway1.io/,Very interesting as highly integrated approach
38,Pearson plc,Pearson Catalyst for Education,UK,Book Publishers,51113,51,Educational Services,Accelerator,3 months,"Yes, yearly","No, but $15K for expenses",No,"Yes, mentors",No,N/I,Company names of 2 cohort[s],Yes,"""

We identify the most promising education startup companies that share Pearson’s commitment to improving people’s lives through learning. Through Pearson Catalyst for Education, we match startups with Pearson brands to deliver pilot programs.""",,No,UK,Remote,2013,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,https://catalyst.pearson.com/,
39,Pitney Bowes Inc,Pitney Bowes Inc,US,Other Commercial and Service Industry Machinery Manufacturing,333318,33,Manufacturing,Accelerator,6 months,"Yes, twice a year",No,No,"Yes, mentors",Yes,Yes,Company names of 1 cohort[s],TBD,"""This program is another step towards innovation by leveraging technology companions and partnerships with an exciting bunch of young entrepreneurs and companies. """,,No,USA,"Noida, India",2014,,http://accelerator.pitneybowes.com/,
40,ProSiebenSat.1 Media AG,ProSiebenSat.1 Accelerator,Germany,Television Broadcasting,51312,51,Information,Accelerator,3 months,"Yes, regularly (freq.?)",25K EUR,5%,"Yes, mentors and coaches",Yes,Yes,Company names of 4 cohort[s],Yes,"""We would like to support entrepreneurs at an early stage and offer founders a unique opportunity to speed up the pace of development of promising, young companies and support the teams to find synergies within the wide-reaching network of ProSiebenSat.1 Media Group. The explicit objective of the Accelerator program is also to strengthen Germany as a location for young entrepreneurs and establish structures which will promote innovative potential in the future.""",,No,Germany,"Munich, Germany / Berlin, Germany",2013,http://tech.eu/research/29/there-are-roughly-100-active-startup-accelerators-europe/,https://www.p7s1accelerator.com/en/home/,
41,Qualcomm Inc,Qualcomm Robotics Accelerator,US,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing (334220),334220,33,Manufacturing,Accelerator,4 months,"Yes, regularly?",$20K from Techstars + $100K optional convertible debt notes,To be confirmed: 6% to Techstars + Optional convertible debt notes to Qualcomm,"Yes, mentors, trainings, reference designs",Yes,Yes,No,Yes,"""startup program aimed to accelerate the development of the next generation of robotics and intelligent machines.""",,Techstars,USA,"San Diego, USA",2014,http://www.techstars.com/program/locations/,http://qualcommaccelerator.com/,
42,Samsung Electronics,Samsung Open Innovation Center,No,"Electrical Equipment, Appliance, and Component Manufacturing",335,33,Manufacturing,Accelerator,Not fixed,"No, rolling",Flexible,Flexible,"Yes, exposure, mentors",Yes,No,No,Yes,"""It's about the thoughtful integration of hardware and software. The Open Innovation Center is focused on driving innovation in software and services. What that means specifically for my group is we are very focused on startups.""",,No,South Korea,"Palo Alto, USA / New York, USA",2013,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,http://samsungaccelerator.com/,Is that actually a real accelerator?
43,Singapore Press Holdings ,SPH Plug and Play,No,Newspaper Publishers,51111,51,Information,Accelerator,3 months,"Yes, regularly (freq. not yet fixed)",30K SGD,N/I,"Yes, mentors",Yes,Yes,No,TBD,"""This collaboration is aimed at building a “strong pipeline of high growth, innovation-driven tech startups” to address challenges of the media industry.",,PlugAndPlay,Singapore,Singapore,2015,,http://sphplugandplay.sph.com.sg/,No cohort launched yet
44,Sprint,Sprint Mobile Health Accelerator,No,Wired Telecommunications Carriers,517110,51,Information,Accelerator,3 months,"Yes, yearly",$20K from Techstars + $100K optional convertible debt notes,6% to Techstars + Optional convertible debt notes to Sprint,"Yes, mentors",Yes,Yes,TechStars Portfolio + Company names of 2 cohort[s],No deals,"""The Sprint Accelerator is looking for any technology startup from around the world with an innovative idea for a product and/or service in the mobile health space.""",,Techstars,USA,"Kansas City, USA",2013,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,http://www.sprintaccelerator.com/,
45,Swire,blueprint accelerator,No,Real Estate,531,53,Real Estate and Rental and Leasing,Accelerator,6 months,"Yes, yearly",No,No,"Yes, mentors and workshops",Yes,N/I,Company names of 1 cohort[s],Limited,N/I,,No,Hong Kong,Hong Kong,2015,,http://blueprint.swireproperties.com/en/,
46,Target Corp,Target India Accelerator,US,All Other General Merchandise Stores (452990),452990,45,Retail Trade,Accelerator,4 months,"Yes, twice a year",N/I,N/I,"Yes, mentors",Yes,Yes,Company names of 2 cohort[s],Yes,"""The Target Accelerator Program is designed to help early stage startups develop concepts that could improve Target’s business and the broader retail industry.""",,No,USA,"Bangalore, India",2014,http://techcrunch.com/2013/11/26/target-yes-that-target-wants-to-launch-an-accelerator-in-india-to-tap-into-its-startup-scene/,https://corporate.target.com/India/about/Target-Accelerator-Program,
47,Telecom Italia,#Wcap Accelerator,No,Wired Telecommunications Carriers,51331,51,Information,Accelerator,4 months,"Yes, yearly",25K EUR,"No, but investment through TIM Ventures possible","Yes, mentors",Yes,"N/I, but TIM Ventures",No,TBD,"We help turn ideas into market-ready companies, supporting startups directly during the creation and development stages. To do this we work daily to foster a community of professionals and partners in the Italian innovation ecosystem.  During the program the teams will also begin talking with Telecom Italia’s business unit in order to initiate early collaboration that could eventually turn into a contract with the company.",,No,Italy,"Catania, Italy / Rome, Italy / Milano, Italy / Bologna, Italy",2013,,http://www.wcap.tim.it,"Start of initiative already in 2009 (from competition to accelerator), Startups are becoming part of TIM's procurement list"
48,Telefónica,wayra,No,Wired Telecommunications Carriers,517110,51,Information,Accelerator,6-12 months,"Yes, regularly (freq.?)",Around $50K,N/I,"Yes, mentors",Yes,Yes,Company names of 4 cohort[s],Yes,"The manager of the Wayra Academy in London explained their business strategy, ""It's not just about the ideas. We are using Wayra as a way of acquiring great talent for Telefónica."" Also: ""We know the next digital revolution can emerge from anywhere, in technology nobody has the final word. If you have a business or an idea that uses technology to solve the problems of the future, Wayra is your place to make it grow.""",,No,Spain,"Argentinia, Brazil, Chile, Colombia, Mexico, Peru, Venezuela, Central East Europe, Germany, Ireland, Spain, UK",2011,http://tech.eu/research/29/there-are-roughly-100-active-startup-accelerators-europe/,http://wayra.co,
49,Telekom Malaysia,Digital Malaysia Corporate Accelerator Program,No,Wired Telecommunications Carriers,51331,51,Information,Accelerator,3 months,"Yes, irregular",No,No,"Yes, mentors",N/I,N/I,Company names of 2 cohort[s],TBD,N/I,,Startup Malaysia,Malaysia,"Kuala Lumpur, Malaysia",2012,,http://www.startupmalaysia.org/dmcapll/,"Might be closer to non-profit, not regular (2 sessions so far, maybe closed now?), People can keep their jobs and only work 30h/month on the startup"
50,Telenet Group Holding NV,Telenet Idealabs,No,Wired Telecommunications Carriers,51331,51,Information,Accelerator,4 or 8 months,"Yes, regularly",At least 25K EUR,No,"Yes, mentors",Yes,Yes,Company names of 1 cohort[s],TBD,"""Telenet Idealabs is a vertical accelerator of 4-8 months that boosts tech and media ideas""","Media service, technology",Idealabs,Belgium,"Antwerp, Belgium",2014,,http://telenetidealabs.be/accelerator/,
51,Telstra,muru-D,No,Wired Telecommunications Carriers,51331,51,Information,Accelerator,6 months,"Yes, twice a year",$40K,6%,"Yes, mentors",Yes,Yes,Company names of 2 cohort[s],TBD,"""muru-D is the startup accelerator backed by Telstra. We are looking to support the very best digital talent that the region has to offer.""",,No,Australia,"Sydney, Australia / Singapore / Auckland, New Zealand",2013,,http://www.muru-d.com,
52,Time Warner Inc,Media Camp,US,Motion Picture and Video Production (512110),512110,51,Information,Accelerator,3 months,"Yes, yearly",$20K,Flexible,"Yes, mentors and training","Yes, optional",N/I,Company names of 3 cohort[s],Yes,N/I,,No,USA,"Los Angeles, USA",2012,https://www.innovationleader.com/tracking-the-corporate-supported-startup-accelerators/,http://www.mediacamp.com/about/,Formerly together with Turner Broadcasting which left in Dec 2014: http://techcrunch.com/2014/12/23/turner-media-camp-shutdown/
53,Travelport,Travelport Labs Incubator,No,On-Line Information Services,514191,51,Information,Incubator,4 months,"Yes, three times a year",Up to $50K,8%,"Yes, mentors and coaches",Yes,N/I,No,TBD,"“We’re serious about redefining travel commerce, and we know there are some highly talented developers and travel start-ups out there who are also looking to have a positive impact on the travel commerce landscape""",,No,USA,"Denver, USA",2015,,http://www.travelport.com/labs/index.html,
54,Tune Group,Tune Labs,No,Scheduled Passenger Air Transportation,481111,48,Transportation and Warehousing,Incubator,3 months,"Yes, three times a year",No,No,"Yes, mentors",Yes,Yes,No,TBD,N/I,,No,Malaysia,"Kuala Lumpur, Malaysia",2015,https://www.techinasia.com/key-people-airasia-launch-tune-labs-startup-accelerator-southeast-asia/,http://thetunelabs.com/incubator/,"Personally funded by the management, but could be by the company later. Have also a program called Accelerator that isn't an Accelerator"
55,Unilever plc,"The Unilever Foundry, Pilot",UK,Toilet Preparation Manufacturing,32562,32,Manufacturing,"""Evolving list of opportunities""",N/I,N/I,Up to $50K (depending on challenge),N/I,"Yes, mentors",N/I,N/I,No,Yes,N/I,,No,Netherlands and UK,N/I,N/I,http://www.f6s.com/programs?filter=1&types[1]=accelerator&amount_default=0;5&fp_amount=0;5&equity_default=0;50&fp_equity=0;50,http://foundry.unilever.com/pilot/,
56,Volkswagen AG,Volkswagen ERL Technology Accelerator,Germany,Automobile Manufacturing,336111,33,Manufacturing,N/I,N/I,N/I,N/I,N/I,"Yes, mentors, coaching and educational workshops",Yes,Potentially at Plug and Play,No,Yes,"""Volkswagen Group of America Electronics Research Laboratory (ERL) has teamed up with Plug and Play to accelerate and collaborate with startups to transfer technology from many industries into the automotive domain.""",,PlugAndPlay,Germany,"Belmont, USA",N/I,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,http://www.plugandplaytechcenter.com/programs/volkswagen-erl-technology-accelerator,"A new ""Mobility Lab"" just about to start! Still alive? No information about current applications - likely closed"
57,Walt Disney Co,Disney Accelerator,US,Motion Picture and Video Production (512110),512110,51,Information,Accelerator,4 months,"Yes, yearly",$20K from Techstars + $100K optional convertible debt notes,Optional convertible debt notes,"Yes, mentors, alumnis, resources from the Disney company",Yes,Yes,TechStars Portfolio + Company names of 1 cohort[s],Yes,"""Disney Accelerator is looking for technology-powered startups from around the world with innovative ideas for products and services in the consumer entertainment and media space. We are looking for consumer entertainment experiences, not enterprise services – innovations that will transform entertainment and media.  No scripts, screenplays or ideas for attractions, please."" ",,Techstars,USA,"Los Angeles, USA",2014,http://techcrunch.com/2014/08/25/corporate-accelerators-are-an-oxymoron/,http://disneyaccelerator.com/,
58,Wells Fargo & Co,Wells Fargo Startup Accelerator,US,Commercial Banking (522110),522110,52,Finance and Insurance,Accelerator,6 months,"Yes, twice a year",$50K-$500K,minority,"Yes, advisors and network",N/I,N/I,No,Yes,N/I,,No,USA,N/I,2014,http://techcrunch.com/2014/08/20/wells-fargo-launches-accelerator-to-promote-innovation-in-financial-services/,https://accelerator.wellsfargo.com/,
59,Yahoo! Inc,Yahoo Ad Tech Program,US,Computer Systems Design Services (541512),541512,54,"Professional, Scientific, and Technical Services",Program,3 months,"Yes, irregular",No,No,"Yes, mentors",Yes,N/I,No,TBD,"""Yahoo Ad Tech program wants to collaborate with your early-stage ad tech startup.""",Ad Tech,No,USA / Israel office,"Tel Aviv, Israel",2014,,https://www.f6s.com/yahooadtechprogram1,No dedicated homepage
60,Yandex,Tolstoy Summer Camp,No,Internet Publishing and Broadcasting and Web Search Portals,519130,51,Information,"""Workshop""",2 months,"Yes, twice a year","No, but some travel reimbursement",No,"Yes, mentors",N/I,Yes,Company names of 4 cohort[s],Yes,N/I,,No,Russia,"Moscow, Russia",2013,http://tech.eu/research/29/there-are-roughly-100-active-startup-accelerators-europe/,https://startups.yandex.ru/events/tolstoycamp/2013/,
61,YLE,YLE Media Startup Accelerator Program,No,Radio and Television Broadcasting,5151,51,Information,Accelerator,3 months,"Yes, irregular",At least 17K EUR,6%,"Yes, mentors",Yes,Yes,Company names of 1 cohort[s],TBD,"""We are looking for startups from Finland and abroad that have an innovative media service or technology solution. ""","Media service, technology",Nestholma,Finland,"Helsinki, Finland",2014,,https://www.f6s.com/yle-media-startup-accelerator,